"","JULDAY","TIME","D0cm","D1.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"81",105,480,10.5670099258423,8.26836776733398,5.73314571380615,5.54471683502197,6.37528705596924,7.14623975753784,7.66416597366333,6.49094152450562,5.91634511947632,7.7416672706604
"82",105,540,15.9532251358032,12.6980199813843,8.21223735809326,6.34285640716553,6.46634006500244,7.00633811950684,7.56665802001953,6.50765228271484,5.92158460617065,7.7416672706604
"83",105,600,20.933126449585,17.172399520874,11.1666164398193,7.60855770111084,6.82468748092651,6.97533845901489,7.47465562820435,6.52218770980835,5.92685127258301,7.7416672706604
"84",105,660,25.0660820007324,21.0711193084717,14.2015972137451,9.20394039154053,7.44546127319336,7.08365821838379,7.39780855178833,6.53479385375977,5.93213796615601,7.7416672706604
"85",105,720,27.805736541748,24.0099010467529,16.9444770812988,10.9442262649536,8.27835178375244,7.34217262268066,7.3463134765625,6.54589748382568,5.93743753433228,7.7416672706604
"86",105,780,29.163745880127,25.4999885559082,19.0856246948242,12.635027885437,9.24250221252441,7.73987150192261,7.32909297943115,6.55610179901123,5.94274663925171,7.7416672706604
"87",105,840,27.5540676116943,25.5228137969971,20.3171920776367,14.077127456665,10.2379550933838,8.24612140655518,7.35222291946411,6.56612777709961,5.94806241989136,7.7416672706604
"88",105,900,24.611743927002,23.8130836486816,20.4771060943604,15.0910902023315,11.1545991897583,8.81420993804932,7.4178147315979,6.5767617225647,5.9533863067627,7.7416672706604
"89",105,960,20.6109104156494,20.5300273895264,19.532377243042,15.5509853363037,11.8879776000977,9.38685131072998,7.52338457107544,6.5887622833252,5.95872259140015,7.7416672706604
"90",105,1020,14.4113712310791,16.3054904937744,17.5522518157959,15.3928918838501,12.3529243469238,9.90363311767578,7.66185617446899,6.60278081893921,5.96407556533813,7.7416672706604
"91",105,1080,8.78006076812744,11.5667295455933,14.8160820007324,14.6298856735229,12.4938278198242,10.3085069656372,7.82218742370605,6.61928033828735,5.96945428848267,7.7416672706604
"92",105,1140,5.22965478897095,8.03774070739746,11.9635143280029,13.408519744873,12.3027687072754,10.5580167770386,7.99054622650146,6.63847780227661,5.97486734390259,7.7416672706604
"93",105,1200,4.06895208358765,6.05338621139526,9.74632263183594,12.0521907806396,11.8515014648438,10.6337375640869,8.15217304229736,6.66031360626221,5.98032379150391,7.7416672706604
"94",105,1260,3.22807669639587,4.94566488265991,8.22177314758301,10.8220567703247,11.2663116455078,10.5524520874023,8.29409503936768,6.68446731567383,5.98583221435547,7.7416672706604
"95",105,1320,3.10953617095947,4.07942008972168,7.12114381790161,9.78476715087891,10.6490211486816,10.3550243377686,8.40747928619385,6.71042060852051,5.99139928817749,7.7416672706604
"96",105,1380,2.26059198379517,3.57101535797119,6.27584743499756,8.91874599456787,10.050669670105,10.0847578048706,8.48818778991699,6.73755073547363,5.99703073501587,7.7416672706604
"97",135,0,8.36696720123291,9.34942817687988,12.4162187576294,15.4745693206787,16.9519748687744,17.1758689880371,15.4102907180786,12.8969955444336,11.7695074081421,7.7416672706604
"98",135,60,7.71489381790161,8.99184322357178,11.7279644012451,14.676477432251,16.2883186340332,16.7590465545654,15.4372100830078,12.9376430511475,11.7663459777832,7.7416672706604
"99",135,120,7.51142263412476,8.66961193084717,11.1835355758667,14.0024213790894,15.6872291564941,16.3418769836426,15.4261512756348,12.9773006439209,11.7633504867554,7.7416672706604
"100",135,180,6.84120178222656,8.52270317077637,10.7392711639404,13.4295768737793,15.1462240219116,15.9370021820068,15.3825635910034,13.0153093338013,11.7605133056641,7.7416672706604
"101",135,240,7.27058982849121,8.23656845092773,10.3849639892578,12.9391708374023,14.6607055664062,15.5513858795166,15.3119869232178,13.0511331558228,11.7578277587891,7.7416672706604
"102",135,300,7.41719245910645,8.22080707550049,10.1220712661743,12.5218391418457,14.2259750366211,15.1883945465088,15.2196550369263,13.0843553543091,11.7552833557129,7.7416672706604
"103",135,360,10.177098274231,9.72692203521729,10.3172817230225,12.2272520065308,13.8460836410522,14.8501844406128,15.1103219985962,13.1146745681763,11.7528705596924,7.7416672706604
"104",135,420,14.7591409683228,13.051944732666,11.582013130188,12.2938537597656,13.5796422958374,14.54700756073,14.9885358810425,13.1418828964233,11.7505750656128,7.7416672706604
"105",135,480,20.3612728118896,17.4948482513428,13.8666019439697,12.8958864212036,13.528115272522,14.3105974197388,14.8600559234619,13.1658735275269,11.7483863830566,7.7416672706604
"106",135,540,26.1084251403809,22.4970207214355,16.8901882171631,14.0504894256592,13.7648553848267,14.1857833862305,14.7333555221558,13.1866827011108,11.7462911605835,7.7416672706604
"107",135,600,31.649471282959,27.3292217254639,20.3007202148438,15.6698322296143,14.3123369216919,14.2127275466919,14.6195983886719,13.2045392990112,11.7442789077759,7.7416672706604
"108",135,660,35.7682838439941,31.4274921417236,23.6667385101318,17.5881233215332,15.1429758071899,14.4147253036499,14.5313110351562,13.2199001312256,11.7423391342163,7.7416672706604
"109",135,720,38.5327377319336,34.4500503540039,26.6126251220703,19.5932102203369,16.1848068237305,14.7919063568115,14.480432510376,13.2334518432617,11.7404623031616,7.7416672706604
"110",135,780,39.496395111084,36.0877304077148,28.8839912414551,21.4895362854004,17.3407096862793,15.3208980560303,14.47633934021,13.2460708618164,11.7386436462402,7.7416672706604
"111",135,840,38.9985809326172,35.9960479736328,30.2184410095215,23.087287902832,18.5032768249512,15.9600343704224,14.5243549346924,13.2587614059448,11.7368812561035,7.7416672706604
"112",135,900,35.4926300048828,34.4224510192871,30.4356861114502,24.2168560028076,19.559886932373,16.6542205810547,14.6249208450317,13.2725448608398,11.7351779937744,7.7416672706604
"113",135,960,30.8597507476807,31.1714725494385,29.4876747131348,24.7488422393799,20.4039058685303,17.3401718139648,14.7732877731323,13.2883853912354,11.7335367202759,7.7416672706604
"114",135,1020,25.5476837158203,26.6823711395264,27.4660015106201,24.6163578033447,20.9467315673828,17.9526920318604,14.9597473144531,13.307074546814,11.7319679260254,7.7416672706604
"115",135,1080,19.0483493804932,21.7224864959717,24.6119422912598,23.8382568359375,21.1324310302734,18.4322109222412,15.1704301834106,13.3291444778442,11.7304821014404,7.7416672706604
"116",135,1140,13.5741710662842,16.824743270874,21.3158493041992,22.5170822143555,20.9479198455811,18.7329654693604,15.3886737823486,13.3548192977905,11.7290916442871,7.7416672706604
